Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
(not set),13126,76598,12927,8934890793475250,984839250342831,9645550815175980,267488,5430,0
Madrid,3267,2938,3402,619559278819887,10413223140495800,17041475359657100,62192,5945,0
Barcelona,1637,1413,1427,6041490262489410,8717165546731820,133317043372022,25066,2905,0
Seville,695,616,503,5576496674057640,7237410071942440,10984172661870500,8925,1169,0
Valencia,693,605,835,6508183943881520,1204906204906200,20133910533910500,17160,1866,0
Malaga,275,247,230,572139303482587,8363636363636360,9038909090909090,3758,405,0
Bilbao,170,160,116,5497630331753550,6823529411764700,6572941176470580,1761,259,0
Valladolid,162,149,125,5707762557077620,7716049382716040,7519753086419750,1849,241,0
Zaragoza,140,126,110,6043956043956040,7857142857142850,9038571428571420,1740,214,0
Vigo,130,123,100,5617977528089880,7692307692307690,10931538461538400,1702,243,0
Las Palmas de Gran Canaria,124,111,72,5070422535211260,5806451612903220,39153225806451600,930,125,0
Alicante,122,115,108,5242718446601940,8852459016393440,13586065573770400,2073,253,0
Palma,122,108,113,5678391959798990,9262295081967210,10058196721311400,1704,208,0
Pozuelo de Alarcon,114,97,345,0.75,3026315789473680,7662456140350870,8364,725,0
Granada,109,100,90,5487804878048780,8256880733944950,13910091743119200,1795,257,0
Marbella,96,64,65,49242424242424200,6770833333333330,10597916666666600,1117,154,0
Cordoba,64,61,39,5492957746478870,609375,37.75,459,65,0
Toledo,63,53,60,0.6,9523809523809520,15487301587301500,1010,98,0
Salamanca,60,50,71,6513761467889900,11833333333333300,264.05,1698,110,0
Alcala de Henares,59,52,51,0.6,864406779661017,227135593220339,1397,151,0
Albacete,58,50,45,625,7758620689655170,1343793103448270,778,79,0
Murcia,58,52,58,6823529411764700,1,13589655172413700,953,101,0
A Coruna,52,49,36,6101694915254230,6923076923076920,12534615384615300,721,80,0
L'Hospitalet de Llobregat,51,48,33,5789473684210520,6470588235294110,6529411764705880,387,40,0
Terrassa,51,45,38,6031746031746030,7450980392156860,1522156862745090,827,100,0
Castellon de la Plana,44,44,22,41509433962264100,0.5,4670454545454540,401,60,0
Alhaurin de la Torre,43,40,34,6938775510204080,7906976744186040,557906976744186,434,89,0
Gijon,42,39,26,5909090909090900,6190476190476190,5738095238095230,394,62,0
Pamplona,40,38,23,48936170212765900,575,92625,453,58,0
Utrera,40,38,46,9387755102040810,1.15,82.1,702,7,0
Almeria,38,36,26,6046511627906970,6842105263157890,5273684210526310,308,35,0
