id,Date,Title,acf_musico_nombre_artistico,acf_musico_provincia,acf_musico_tipo,acf_musico_formatos_disponibles,acf_musico_precio_minimo_dj,acf_musico_coste_hora_extra_dj,acf_musico_precio_minimo_solista,acf_musico_coste_hora_extra_solista,acf_musico_precio_minimo_duo,acf_musico_coste_hora_extra_duo,acf_musico_precio_minimo_trio,acf_musico_coste_hora_extra_trio,acf_musico_precio_minimo_cuarteto,acf_musico_coste_hora_extra_cuarteto,acf_musico_precio_minimo_conjunto,acf_musico_coste_hora_extra_conjunto,acf_musico_precio_minimo_banda_bateria,acf_musico_coste_hora_extra_banda_bateria,acf_musico_genero_musical,acf_musico_url_youtube_1,acf_musico_url_youtube_2,acf_musico_url_youtube_3,acf_musico_titulo_youtube_4,acf_musico_titulo_youtube_5,acf_musico_repertorio_completo,estados músico,Nº CONTRATACIONES,Author ID
4679,2022-02-15,Alex,Alex,Cádiz,Músico,"a:2:{i:0;s:7:""Solista"";i:1;s:27:""Banda/Conjunto sin batería"";}",,,150,50,,,,,,,,,,,"a:1:{i:0;s:9:""Acústico"";}",,,,,,,Incompleto,0,2
4706,2022-02-15,DJ_movil,DJ_movil,Madrid,DJ,,100,50,,,,,,,,,,,,,"a:1:{i:0;s:11:""Alternativa"";}",https://youtu.be/CxdGdqbakQY,,,,,Cancion - Autor,Completo,0,36
4914,2022-02-16,Paloma García del Busto,Paloma García del Busto,Madrid,Músico,"a:5:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";i:2;s:5:""Trío"";i:3;s:8:""Cuarteto"";i:4;s:27:""Banda/Conjunto sin batería"";}",,,150,100,300,100,450,150,600,200,600,200,,,"a:4:{i:0;s:8:""Clásica"";i:1;s:12:""Instrumental"";i:2;s:9:""Orquestal"";i:3;s:3:""Pop"";}",https://www.youtube.com/watch?v=n2-L-QAU724,https://youtu.be/lbb5O-O_7dE,,,,,Completo,0,38
5005,2022-02-16,Platos &amp; Piñones,Platos & Piñones,Madrid,Músico,"a:1:{i:0;s:18:""Banda con batería"";}",,,,,,,,,,,,,200,200,"a:4:{i:0;s:9:""Acústico"";i:1;s:3:""Pop"";i:2;s:4:""Rock"";i:3;s:4:""Soul"";}",,,,,,,Completo,0,49
5020,2022-02-17,Pablo Pedraza,Pablo Pedraza,Madrid,Músico,"a:1:{i:0;s:4:""Dúo"";}",,,,,200,80,,,,,,,,,"a:3:{i:0;s:3:""Pop"";i:1;s:9:""Reggeaton"";i:2;s:4:""Rock"";}",https://www.youtube.com/watch?v=bBdHP9JxcHU,https://www.youtube.com/watch?v=9i-CFySLgTo,https://www.youtube.com/watch?v=kaUmUwPXBOo,,,"1. LADY MADRID – PEREZA
2. EL MUNDO – PABLO LOPEZ
3. PETER PAN – EL CANTO DEL LOCO
4. VIVIR MI VIDA – MARC ANTONHY
5. CAROLINA – MCLAN
6. LA CHICA DE AYER – NACHA POP
7. UNA FOTO EN BLANCO Y NEGRO – EL CANTO DEL LOCO
8. MIL CALLES LLEVAN HACIA TI – LA GUARDIA
9. NI TU NI NADIE – ALASKA
10. DOS HOMBRES Y UN DESTINO – DAVID BUSTAMANTE
11. BAILEMOS – DANI FERNANDEZ
12. LA FLACA- JARABE DE PALO
13. NO DUDARIA – ANTONIO FLORES
14. NOCHES DE BOHEMIA- NAVAJITA PLATEÁ
15. SOLDADITO MARINERO – FITO Y FITIPALDIS
16. HACE CALOR – LOS RODRIGUEZ
17. COLOR ESPERANZA – DIEGO TORRES
18. MIRA COMO VUELO – MISS CAFFEINA
19. MADRID – PEREZA
20. BAILA MORENA – ZUCHERO
21. LA CASA POR EL TEJADO – FITO Y FITIPALDIS
22. CAMINANDO POR LA VIDA – MELENDI
23. FEO,FUERTE Y FORMAL – LOQUILLO
24. SUFRE MAMÓN – HOMBRES G
25. NO PUEDO VIVIR SIN TI
26. VOLVÍ A NACER – CARLOS VIVES
27. DÉJAME – LOS SECRETOS
28. PRINCESAS – PEREZA
29. LA CINTURA – ÁLVARO SOLER
30. VOLVERÁ – EL CANTO DEL LOCO
31. FÍSICA O QUÍMICA – DESPISTAOS
32. A QUIEN LE IMPORTA – ALASKA
33. GENTLEMAN – CEPEDA
34. YA NADA VOLVERÁ A SER COMO ANTES – EL CANTO DEL LOCO
35. BIPOLAR – POL 3.14
36. EL NO SOY YO – BLAS CANTÓ
37. CERO – DANI MARTÍN
38. TE ESPERARÉ TODA LA VIDA – DANI FERNANDEZ
39. SOLO TÚ –CARLOS RIVERA
40. TAL COMO ERES – EL CANTO DEL LOCO
41. HIJOS DEL VERBO AMAR – PABLO LOPEZ
42. CON LA GANAS – ZAHARA
43. MUNDOS – SOFIA ELLAR
44. LA LLAMADA – LEIVA
45. SATURNO – PABLO ALBORAN
46. A PURO DOLOR
47. DESDE CUANDO – ALEJANDRO SANZ
48. MADRE TIERRA – CHAYANNE
49. EL ATAQUE DE LAS CHICAS COCODRILO – HOMBRES G
50. BAILA MORENA - ZUCHERO
51. SIRENAS – TABURETE
52. BESOS – EL CANTO DEL LOCO
53. MIRA COMO VUELO
54. LLUEVE SOBRE MOJADO – PABLO ALBORAN/AITANA/ALVARO DE LUNA
55. EL CIELO NO ENTIENDE – OBK
56. INDIOS Y VAQUEROS – SINSINATI",Completo,3,50
5365,2022-02-22,Maria,Maria,Barcelona,Músico,"a:3:{i:0;s:7:""Solista"";i:1;s:4:""Dúo"";i:2;s:18:""Banda con batería"";}",,,100,50,150,50,,,,,,,300,100,"a:4:{i:0;s:9:""Acústico"";i:1;s:10:""Bossa Nova"";i:2;s:4:""Jazz"";i:3;s:3:""Pop"";}",,,,,,"Puedo cantar canciones de artistas pop españoles como Fito y Fitipaldis, El canto del Loco, Estopa, Malú, Dani Fernandez,… entre muchos otros. 
También canto canciones jazz de artistas como Amy Winehouse, Norah Jones o Diana Krall, entre algunos otros.
Además, me gusta cantar temas de películas, des de canciones Disney a temas como “I have nothing” de Withney Huston",Completo,0,53
5366,2022-02-22,Yai Machine,Yai Machine,Madrid,DJ,,150,50,,,,,,,,,,,,,"a:4:{i:0;s:5:""Disco"";i:1;s:11:""Electronica"";i:2;s:5:""House"";i:3;s:9:""Reggeaton"";}",https://youtu.be/eTyWhcIpixo,,,,,"Música actual tanto comercial como reggaeton, y de la electrónica pues todo lo último incuyendo temas más antiguos, y también música de los 80,90, lo mejor de los temas míticos, incluyendo rock y pop.",Completo,1,0
5376,2022-02-22,German Navarro,German Navarro,Granada,DJ,a:0:{},100,50,,,,,,,,,,,,,"a:2:{i:0;s:11:""Electronica"";i:1;s:6:""Techno"";}",https://youtu.be/Sd5ne1mQbYU,,,,,,Completo,0,0
5378,2022-02-22,Daniel Cerdà,Daniel Cerdà,Barcelona,Músico,"a:1:{i:0;s:7:""Solista"";}",,,250,100,,,,,,,,,,,"a:1:{i:0;s:9:""Acústico"";}",https://www.youtube.com/watch?v=r1hw1KpZOWM,https://youtu.be/Sx68ivBuLjM,https://youtu.be/SsiuCH9wdGs,,,"1.- One (U2) 
2.- With or without you (U2) 
3.- Escuela de calor (Radio Futura) 
4.- Corazón de tinta (Radio Futura) 
5.- Cadillac solitario (Loquillo) 
6.- Pájaros de barro (Manolo García) 
7.- Insurrección (Ultimo de la fila) 
8.- Aviones plateados (Ultimo de la fila)
9.- Querida Milagros (Ultimo de la fila) 
10.- El lado oscuro (Jarabe de Palo) 
11.- Echo de menos (Kiko Veneno) 
12.- Mercedes blanco (Kiko Veneno) 
13.- A cara o cruz (Radio Futura) 
14.- Lobo López (Kiko Veneno) 
15.- Lobo hombre en París (La Unión) 
16.- El límite del bien (La Frontera) 
17.- Tu frialdad (Triana) 
18.- Personal Jesus (Depeche Mode) 
19.- Como un burro amarrado a la puerta del baile (Ultimo de la fila) 
20.- Lost on you (Laura Pergolezzi) 
21.- Somebody I used to know (Gotye) 
22.- Heroes (David Bowie) 
23.- Estadio Azteca (Andrés Calamaro) 
24.- Vente pa Madrid (Ketama) 
25.- The scientist (Coldplay) 
26.- Heaven (Talking Heads) 
27.- Verde (Manzanita) 
28.- Camins (Sopa de Cabra) 
29.- No puedo vivir sin ti (Los Ronaldos) 
30.- Voilà (Barbara Pravi) 
31.- Alleluia (Cohen) 
32.- Gitana (Manzanita) 
33.- Y sin embargo (Sabina) 
34.- Peces de ciudad (Sabina)  
35.- Princesa (Sabina) 36.- Pongamos que hablo de Madrid (Sabina) 
37.- Lucía (Serrat) 38.- Mediterráneo (Serrat) 
39.- Paraules d’amor (Serrat) 
40.- Volando voy (Kiko veneno) 
41.- La alegría de vivir (Ray Heredia) 
42.- Rien de rien (Edit Piaf) 
43.- La Leyenda del tiempo (Camaron) 
44.- Ain’t no sunshine (Bill withers) 
45.- For no one (Beatles) 
46.- Joselito (Kiko Veneno) 
47.- Son cuatro días (ultimo de la fila) 
48.- Parque Triana (Elbicho) 
49.- La vie en rose (Edith Piaf) 
50.- The Blower’s daughter (Damien Rice) 
51.- Una lágrima (Peret) 
52.- Sous le ciel de París (Yves Montand) 
53.- Lince Ramón (Kiko Veneno) 
54.- Todo lo que me gusta es ilegal (Pata Negra)
55.- Mamá Dolores (ElBicho) 
56.- Que tinguem sort ( Llach) 
57.- La Belle histoire (Michel Fougain) 
58.- Abre la puerta (Triana) 
59.- Chelsea Hotel (Cohen) 
60.- Pequeño vals vienés (Morente) 
61.- Et maintenant (Becaud) 
62.- Pata Palo (Pata Negra) 
63.- Ni contigo ni sintigui (Manzanita) 
64.- En el lago (Triana) 
65.- Lo bueno y lo malo (Ray Heredia) 
66.- The Blue raincoat (Cohen) 
67.- Una noche de amor desesperada (Triana) 
68.- Le vent nous portera (Noir Desir) 
69.- Sensitive Kind (J.J. Cale) 
70.- Colors (Black Pumas) 
71.- Qualsevol nit pot sortir el Sol (Sisa) 
72.- Cold little heart (Michael Kiwanuka) 
73.- Abril 74 (Llach) 
74.- No llora mi pez (Miguel Campello) 
75.- Ne me quitte pas (Brel)
 76.- Elephant (Damien Rice) 
77.- Sr. Troncoso (Triana) 
78.- De la ciudad (ElBicho) 
79.- Le meteque (Moustaki) 
80.- Bellaciao (Popular italiana) 
81.- No estamos lokos (Ketama) 
82.- Djobi djoba (Gypsie Kings) 
83.- Llanto de pasión (Último de la fila) 
84.- White as snow (U2) 
85.- The fortune teller (Calexico) 
86.- En los árboles (El Último de la fila) 
87.- El trovador de tus sueños (Manzanita) 
88.- Pata Palo (Pata Negra) 
89.- La Chanson des vieux amants (Brel) 
90.- Bodas de sangre (Pata Negra) 
91.- Luminosa mañana (Triana) 
92.- Domage (Big Flo & Oli) 
93.- Santé (Stromae) 
94.- Sacerdote (Morente) 
95.- Event in the quietests moments (Supertramp) 
96.- Quiero contarte (Triana) 
97.- Michelle (Gerard Lenorman) 
98.- Hurt (Johnny Cash) 
99.- Les feuilles mortes (Yves Montand) 
100.- Boig per tu (Sau)",Completo,1,55
5379,2022-02-22,Sonia Nawri,Sonia Nawri,Murcia,Músico,"a:3:{i:0;s:4:""Dúo"";i:1;s:5:""Trío"";i:2;s:18:""Banda con batería"";}",,,,,220,80,350,100,,,,,500,180,"a:4:{i:0;s:9:""Acústico"";i:1;s:5:""Indie"";i:2;s:3:""Pop"";i:3;s:4:""Rock"";}",https://www.youtube.com/watch?v=zzlazGINqBQ,https://www.youtube.com/watch?v=cV11BJSvuZw,,,,,Completo,0,58
