ID,Nombre Restaurante,Dirección,Distrito Postal,Localidad,Provincia
1,ABYA - Palacio de Saldaña,"C. de José Ortega y Gasset, 32, 28006 Madrid",28006,Madrid,Madrid
2,Aguirre Pozuelo,"C. Segundo Mata, 1, 28224 Pozuelo de Alarcón, Madrid",28224,Pozuelo de Alarcón,Madrid
3,Alejandro Aranzábal,,,,Madrid
4,Almadraba Rivas Restaurante,Rivas Vaciamadrid Avenida la técnica 43,28522,Rivas - Vaciamadrid,Madrid
5,Amor al Plato,"Calle Capitán Blanco Argibay, 88, Madrid",28029,Madrid,Madrid
6,Aurora Madrid,"Av. de Alberto Alcocer, 32, 28036 Madrid",28036,Madrid,Madrid
7,Bar La Andaluza,"Avenida emperatriz isabel #10, Madrid, Spain",28004,Madrid,Madrid
8,Barbara Ann,"C/. Santa Teresa, 8. Madrid. 28004",28004,Madrid,Madrid
9,Barra y Mantel,"C. de Jorge Juan, 50, 28001 Madrid",28001,Madrid,Madrid
10,Bendita Tierra Madrid,"Ronda de la Raya, 5, 28690 Brunete (Madrid)",28690,Brunete,Madrid
11,Bloom Salvador Bachiller,"C/ Alberto Aguilera, 54 - Madrid",28015,Madrid,Madrid
12,Bosco,"Calle de Fernández de la Hoz, 78, 28003 Madrid",28003,Madrid,Madrid
13,Brickell The Original Burger,"C/ Manuel de Falla 3 - 28222 Majadahonda, Madrid",28222,Majadahonda,Madrid
14,Bunji The Place,"Calle Juan Ramón Jiménez 26, 28036 Madrid",28036,Madrid,Madrid
15,By The Way,"Josefa Valcárcel, 10. 28027 Madrid, España",28027,Madrid,Madrid
16,Café Comercial Madrid,"ta. de Bilbao, 7, 28004 Madrid",28004,Madrid,Madrid
17,Café del Rey,"Paseo del Rey 22, 28008 Madrid,",28008,Madrid,Madrid
18,Café Libertad 8,"C. de la Libertad, 8, 28004 Madrid",28004,Madrid,Madrid
19,Caro Club,"Calle Génova, 28 - 28004 Madrid",28004,Madrid,Madrid
20,Casa Corona Madrid - Terraza Atenas,Terraza Atenas - C/ Segovia s/n Madrid,28005,Madrid,Madrid
21,Casa Curro Taberna Madrid,"Calle de la Cava Baja, 23, 28005 Madrid",28005,Madrid,Madrid
22,Casa Varillas,"Av. de Lozoya, 27, 28742 Lozoya",28742,Lozoya,Madrid
23,Casa Vito,"Calle de Juan Bravo, 43, 28006 Madrid",28006,Madrid,Madrid
24,Chambao Fashion Grillhouse,"P.º de la Castellana, 4, 28046 Madrid",28046,Madrid,Madrid
25,Cricket Café Bar Afterwork,"Calle del Gral. Gallegos, 1, 28036 Madrid",28036,Madrid,Madrid
26,Cucurucho Bar,"C. de Mateo Inurria, 19, 28036 Madrid",28036,Madrid,Madrid
27,Delphina Serrano,"C/Serrano, 84 – 28006 Madrid",28006,Madrid,Madrid
28,"Denominación de Origen Boadilla, Las Rozas y Majadahonda","Boadilla, Las Rozas y Majadahonda",28222,Majadahonda,Madrid
29,El Callejón de Serrano,"Calle Serrano,63 28006 Madrid",28006,Madrid,Madrid
