Ciudad,Usuarios,Usuarios nuevos,Sesiones con interacción,Porcentaje de interacciones,Sesiones con interacción por usuario,Tiempo de interacción medio,Número de eventos,Conversiones,Total de ingresos
(not set),13126,76598,12927,8.934.890.793.475.250,984.839.250.342.831,9.645.550.815.175.980,267488,5430,0
Madrid,3267,2938,3402,619.559.278.819.887,10.413.223.140.495.800,17.041.475.359.657.100,62192,5945,0
Barcelona,1637,1413,1427,6.041.490.262.489.410,8.717.165.546.731.820,133.317.043.372.022,25066,2905,0
Seville,695,616,503,5.576.496.674.057.640,7.237.410.071.942.440,10.984.172.661.870.500,8925,1169,0
Valencia,693,605,835,6.508.183.943.881.520,1.204.906.204.906.200,20.133.910.533.910.500,17160,1866,0
Malaga,275,247,230,572.139.303.482.587,8.363.636.363.636.360,9.038.909.090.909.090,3758,405,0
Bilbao,170,160,116,5.497.630.331.753.550,6.823.529.411.764.700,6.572.941.176.470.580,1761,259,0
Valladolid,162,149,125,5.707.762.557.077.620,7.716.049.382.716.040,7.519.753.086.419.750,1849,241,0
Zaragoza,140,126,110,6.043.956.043.956.040,7.857.142.857.142.850,9.038.571.428.571.420,1740,214,0
Vigo,130,123,100,5.617.977.528.089.880,7.692.307.692.307.690,10.931.538.461.538.400,1702,243,0
Las Palmas de Gran Canaria,124,111,72,5.070.422.535.211.260,5.806.451.612.903.220,39.153.225.806.451.600,930,125,0
Alicante,122,115,108,5.242.718.446.601.940,8.852.459.016.393.440,13.586.065.573.770.400,2073,253,0
Palma,122,108,113,5.678.391.959.798.990,9.262.295.081.967.210,10.058.196.721.311.400,1704,208,0
Pozuelo de Alarcon,114,97,345,0.75,3.026.315.789.473.680,7.662.456.140.350.870,8364,725,0
Granada,109,100,90,5.487.804.878.048.780,8.256.880.733.944.950,13.910.091.743.119.200,1795,257,0
Marbella,96,64,65,49.242.424.242.424.200,6.770.833.333.333.330,10.597.916.666.666.600,1117,154,0
Cordoba,64,61,39,5.492.957.746.478.870,609.375,37.75,459,65,0
Toledo,63,53,60,0.6,9.523.809.523.809.520,15.487.301.587.301.500,1010,98,0
Salamanca,60,50,71,6.513.761.467.889.900,11.833.333.333.333.300,264.05,1698,110,0
Alcala de Henares,59,52,51,0.6,864.406.779.661.017,227.135.593.220.339,1397,151,0
Albacete,58,50,45,625,7.758.620.689.655.170,1.343.793.103.448.270,778,79,0
Murcia,58,52,58,6.823.529.411.764.700,1,13.589.655.172.413.700,953,101,0
A Coruna,52,49,36,6.101.694.915.254.230,6.923.076.923.076.920,12.534.615.384.615.300,721,80,0
